USAGE_DATE,STORAGE_TB,STAGE_TB,FAILSAFE_TB,TOTAL
2022-09-11,254.172959938,0.1148124303,135.920076124,390.207848493
2022-09-12,258.133132383,0.1156168871,137.723065332,395.971814602
2022-09-13,254.627463545,0.1218568182,137.302961906,392.052282269
2022-09-14,252.195853014,0.1257775741,135.221397721,387.543028308
2022-09-15,255.757494152,0.1251988988,134.435899043,390.318592094
2022-09-16,254.374709758,0.1321938778,133.257023351,387.763926986
2022-09-17,252.036995885,0.1327635764,128.945534842,381.115294303
2022-09-18,254.328799035,0.1412939809,126.395635914,380.86572893
2022-09-19,261.50807637,0.1563142726,124.92033847,386.584729113
2022-09-20,258.619153655,0.162160174,126.376873702,385.158187531
2022-09-21,254.09729348,0.1642808916,129.17304648,383.434620852
2022-09-22,254.257123971,0.1739715665,129.487930847,383.919026384
2022-09-23,255.424097955,0.1888776428,126.508723918,382.121699515
2022-09-24,253.6473915,0.1904981825,125.806276355,379.644166038
2022-09-25,254.439220223,0.1806797755,125.459506633,380.079406632
2022-09-26,259.009282471,0.1800954441,124.288398895,383.47777681
2022-09-27,256.997479929,0.185325968,121.100190272,378.282996169
2022-09-28,254.687451425,0.2645548966,118.687473426,373.639479748
2022-09-29,255.112057699,0.3376163849,118.23660947,373.686283553
2022-09-30,255.698716188,0.2873486459,118.694826868,374.680891701
2022-10-01,254.75422149,0.1951695602,118.221437133,373.170828184
2022-10-02,256.082489074,0.2050948634,118.304597678,374.592181616
2022-10-03,260.902823192,0.2037416507,118.761670343,379.868235185
2022-10-04,260.299576592,0.2063963878,118.298755352,378.804728331
2022-10-05,259.823450768,0.219536902,117.948102061,377.991089731
2022-10-06,260.078743134,0.224010119,120.320890127,380.62364338
2022-10-07,260.257919197,0.2280568013,122.029098145,382.515074143
2023-03-01,295.465985176,1.115973444,149.985651094,446.567609713
2023-03-02,299.029818276,1.132024264,148.838146092,448.999988632
2023-03-03,297.57921533,1.160752983,147.838382698,446.578351011
2023-03-04,294.344952679,1.175467015,147.91654432,443.436964014
2023-03-05,295.89887194,1.184454729,147.559903811,444.64323048
2023-03-06,302.858866902,1.202595557,146.588474249,450.649936707
2023-03-07,301.834657947,1.216435922,147.166400692,450.21749456
2023-03-08,296.576876356,1.231049236,149.558928051,447.366853643
2023-03-09,298.170787268,1.243377528,149.837214779,449.251379575
2023-03-10,299.565651598,1.286173093,149.048961575,449.900786266
2023-03-11,296.800695332,1.293146931,150.289280009,448.383122272
2023-03-12,297.013854232,1.294530617,150.992649047,449.301033897
2023-03-13,303.737547933,1.30775039,150.94293867,455.988236993
2023-03-14,302.001229761,1.319285115,150.517515054,453.83802993
2023-03-15,300.905143826,1.332731453,147.214967925,449.452843203
2023-03-16,301.457694986,1.37891072,147.731832647,450.568438353
2023-03-17,300.972349065,1.360953944,147.820654496,450.153957505
2023-03-18,300.976073264,1.361909327,145.832052708,448.170035298
2023-03-19,302.171896103,1.369554973,145.443726075,448.985177152
2023-03-20,308.843934787,1.37418814,145.968090805,456.186213733
2023-03-21,306.690655247,1.382654151,146.735489145,454.808798543
2023-03-22,306.516814507,1.406593233,147.512418896,455.435826636
2023-03-23,307.793460603,1.426154325,148.848151261,458.067766188
2023-03-24,310.368883804,1.434426365,149.327816151,461.13112632
2023-03-25,306.337121117,1.428078388,153.905745268,461.670944774
2023-03-26,307.504712029,1.425811508,155.226197037,464.156720574
2023-03-27,313.807251904,1.432476936,156.454042711,471.693771551
2023-03-28,312.343234925,1.507998633,156.052326081,469.903559639
2023-03-29,310.535908446,1.596112133,157.618980391,469.75100097
2023-03-30,310.643545329,1.613433985,156.718521871,468.975501185
2023-03-31,310.97480471,1.631114646,156.159842729,468.765762085
2023-04-01,310.958576039,1.587024989,152.358429995,464.904031023
2023-04-02,312.028214316,1.493535017,152.47357301,465.995322343
2023-04-03,318.851110984,1.493121443,153.031986019,473.376218446
2023-04-04,313.011714567,1.502954154,155.510634986,470.025303707
2023-04-05,312.100852472,1.505176344,154.307362837,467.913391653
2023-04-06,313.448261486,1.490605033,154.149566167,469.088432687
2023-04-07,312.648815668,1.50350813,155.120548943,469.272872741
2023-04-08,311.250449935,1.505766101,156.037378438,468.793594475
2023-04-09,313.370591223,1.506519476,154.950017272,469.827127972
2023-04-10,319.201260504,1.511900122,154.473278214,475.18643884
2023-04-11,316.445188874,1.514572879,151.657697441,469.617459194
2023-04-12,313.62331376,1.521450004,152.676825222,467.821588986
2023-04-13,314.117843083,1.53718008,152.287909931,467.942933094
2023-04-14,315.242771633,1.551825165,151.551108461,468.345705259
2023-04-15,314.453356416,1.549532639,151.634021431,467.636910486
2023-04-16,316.000947836,1.549194757,152.265672773,469.815815366
2023-04-17,321.384756139,1.564169992,153.334070532,476.282996662
2023-01-12,273.539668994,0.721776723,145.159490368,419.420936086
2023-01-13,276.565802108,0.7304435666,144.812991878,422.109237552
2023-01-14,277.573370921,0.7376707533,145.441224979,423.752266653
2023-01-15,276.210358612,0.7370358065,146.845150755,423.792545174
2023-01-16,282.572686179,0.7479015719,147.153138412,430.473726163
2023-01-17,279.486714043,0.8244929658,146.243812717,426.555019725
2023-01-18,278.061451284,0.9059791929,144.651107401,423.618537878
2023-01-19,278.032584996,0.91720983,143.109396975,422.059191802
2023-01-20,281.773822389,0.9269342396,142.798308209,425.499064838
2023-01-21,278.801342349,0.8800246747,145.468744005,425.150111028
2023-01-22,280.174261919,0.7946378858,145.108240025,426.077139829
2023-01-23,285.489986881,0.8038013737,146.595891492,432.889679747
2023-01-24,283.527166194,0.8208491897,147.408761727,431.756777111
2023-01-25,279.387259753,0.8307824539,147.759062759,427.977104966
2023-01-26,283.001241323,0.8381773419,146.127264756,429.966683421
2023-01-27,282.397798916,0.8507973704,149.018138493,432.266734779
2023-01-28,279.254095853,0.8529053008,147.465913494,427.572914647
2023-01-29,280.44459149,0.8532604528,145.444842735,426.742694678
2023-01-30,289.888259881,0.856922505,143.763686305,434.508868691
2023-01-31,286.411474678,0.8665981448,145.136864974,432.414937796
2023-02-01,285.457376096,0.8868441627,145.474133841,431.8183541
2023-02-02,283.706860082,0.9211323056,148.175489346,432.803481734
2023-02-03,284.003667471,0.9229760625,145.340556913,430.267200446
2023-02-04,281.902774663,0.927309654,144.171440645,427.001524963
2023-02-05,282.994823452,0.9308861252,144.316764737,428.242474314
2023-02-06,288.753563169,0.9430556929,144.515261767,434.211880629
2023-02-07,286.891709247,0.9596113394,140.928354888,428.779675474
2023-02-08,285.666471752,0.9658803226,139.660697822,426.293049896
2023-02-09,285.353850773,0.9780448049,138.737399058,425.069294637
2023-02-10,286.322228098,0.9930285617,139.04120834,426.356465
2023-02-11,288.343523299,0.9932851812,139.183286848,428.520095328
2023-02-12,293.810282318,1.017419036,142.624810706,437.452512059
2023-02-13,292.131221413,1.018412947,150.956396085,444.106030445
2023-02-14,295.088690721,1.022599899,152.789807791,448.90109841
2023-02-15,293.245670892,1.033172549,157.68404742,451.96289086
2023-02-16,289.222287928,1.030041255,162.068843938,452.32117312
2023-02-17,290.183334217,1.03684976,161.981932369,453.202116346
2023-02-18,287.788226246,1.04462824,161.976033399,450.808887886
2023-02-19,288.714596081,1.048301671,158.702837128,448.465734881
2023-02-20,294.23705027,1.042415158,149.873421369,445.152886797
2023-02-21,293.60546902,1.037643391,148.075241379,442.71835379
